itemcode,itemname,,,,,,,
630,멸치 아몬드볶음,,,,,,,
641,야관문 코다리조림 세트,,,,,,,
664,비트레드샐러드,,,,,,,
666,과카몰리샐러드,,,,,,,
676,비트&베리 스무디,,,,,,,
688,[1Table] 한우 나주곰탕,,,,,,,
744,패밀리 패키지,,,,,,,
748,양배추&우엉 스무디,,,,,,,
778,모짜렐라쿠스쿠스샐러드,,,,,,,
796,목이버섯 대구찜 세트,,,,,,,
800,혼밥 패키지,,,,,,,
804,가지 고구마순 돼지찜 세트,,,,,,,
827,[1Table] 모짜렐라 김치 서울만두,,,,,,,
829,배추 불고기 샐러드 세트,,,,,,,
832,고추잡채 덮밥 소스 세트 ,,,,,,,
841,[1Table] 갈비 낙지 볶음밥,,,,,,,
843,[1Table] 존쿡 델리미트 부대찌개,,,,,,,
848,[1Table] 부지깽이 나물밥,,,,,,,
854,구운감자 주꾸미 샐러드 세트,,,,,,,
857,매콤 주꾸미볶음 세트 ,,,,,,,
877,검은콩&가지 스무디,,,,,,,
914,[1Table] 제주 흑돼지 갈비만두,,,,,,,
926,진피 고추기름,,,,,,,
1001,커플 패키지,,,,,,,
1035,분짜 샐러드 세트,,,,,,,
1038,부드러운 멸치 견과볶음 ,,,,,,,
1042,[1Table] 양구 시래기밥,,,,,,,
1086,당귀 유채유,,,,,,,
1111,[1Table] 장조림 버터 볶음밥,,,,,,,
1182,두부찹스테이크 세트,,,,,,,
1191,[1Table] 와규 함박스테이크,,,,,,,
1219,[1Table] 존쿡 델리미트 핫도그 ,,,,,,,
1223,뿌리채소 한우갈비찜,,,,,,,
1236,쿠스쿠스 강황 감자채볶음 ,,,,,,,
1246,해산물 지중해샐러드 세트,,,,,,,
1259,고수가득 분짜 샐러드,,,,,,,
1264,주꾸미 감자 샐러드 세트,,,,,,,
1287,[1Table] 냉이 된장찌개,,,,,,,
1292,[vezzly] 쌀조청 롤케이크,,,,,,,
1299,[vezzly] 까사테라,,,,,,,
1331,입에서 녹는 동파육,,,,,,,
1378,[에쉬레] 무염버터 포션,,,,,,,
1379,해산물 미나리볶음 세트,,,,,,,
1394,[vezzly] 황금식빵,,,,,,,
1404,[vezzly] 미미 카스테라,,,,,,,
1411,[vezzly] 비건식빵,,,,,,,
1536,미나리 주꾸미볶음 ,,,,,,,
1590,[도디] 화이트 발사믹 비네거,,,,,,,
1751,[1Table] 한우 쇠고기 미역국,,,,,,,
1850,[1Table] 담양 죽순밥,,,,,,,
1864,[vezzly] 흑마늘식빵,,,,,,,
1892,미나리잡채,,,,,,,
1900,[1Table] 존쿡 델리미트 크리스피 빅 핫도그 ,,,,,,,
1917,[1Table] 봉우리 떡갈비,,,,,,,
1969,매운 해물죽 (1인분),,,,,,,
1974,[마담로익] 크림치즈 플레인,,,,,,,
2017,[범산목장] 유기농 목초 우유,,,,,,,
2048,구운가지율무샐러드,,,,,,,
2067,중국식 궁채 가지볶음,,,,,,,
